region,vm_size,quota,regions_supporting_instance,family_series,vcpu,memory_gb
southeastasia,Basic_A0,,16,Basic,1,0.75
southeastasia,Basic_A1,,16,Basic,1,1.75
southeastasia,Basic_A2,,16,Basic,2,3.5
southeastasia,Basic_A3,,16,Basic,4,7
southeastasia,Basic_A4,,16,Basic,8,14
southeastasia,Standard_A0,,16,Standard,1,0.75
southeastasia,Standard_A1,,16,Standard,1,1.75
southeastasia,Standard_A1_v2,,35,Standard,1,2
southeastasia,Standard_A2,,16,Standard,2,3.5
southeastasia,Standard_A2_v2,,35,Standard,2,4
southeastasia,Standard_A2m_v2,,35,Standard,2,16
southeastasia,Standard_A3,,16,Standard,4,7
southeastasia,Standard_A4,,16,Standard,8,14
southeastasia,Standard_A4_v2,,35,Standard,4,8
southeastasia,Standard_A4m_v2,,35,Standard,4,32
southeastasia,Standard_A5,,16,Standard,2,14
southeastasia,Standard_A6,,16,Standard,4,28
southeastasia,Standard_A7,,16,Standard,8,56
southeastasia,Standard_A8_v2,,35,Standard,8,16
southeastasia,Standard_A8m_v2,,35,Standard,8,64
southeastasia,Standard_B12ms,,35,Standard,12,48
southeastasia,Standard_B16als_v2,,32,Standard,16,32
southeastasia,Standard_B16as_v2,,32,Standard,16,64
southeastasia,Standard_B16ls_v2,,34,Standard,16,32
southeastasia,Standard_B16ms,,35,Standard,16,64
southeastasia,Standard_B16pls_v2,,11,Standard,16,32
southeastasia,Standard_B16ps_v2,,11,Standard,16,64
southeastasia,Standard_B16s_v2,,34,Standard,16,64
southeastasia,Standard_B1ls,,35,Standard,1,0.5
southeastasia,Standard_B1ms,,35,Standard,1,2
southeastasia,Standard_B1s,,35,Standard,1,1
southeastasia,Standard_B20ms,,35,Standard,20,80
southeastasia,Standard_B2als_v2,,32,Standard,2,4
southeastasia,Standard_B2as_v2,,32,Standard,2,8
southeastasia,Standard_B2ats_v2,,32,Standard,2,1
southeastasia,Standard_B2ls_v2,,34,Standard,2,4
southeastasia,Standard_B2ms,,35,Standard,2,8
southeastasia,Standard_B2pls_v2,,11,Standard,2,4
southeastasia,Standard_B2ps_v2,,11,Standard,2,8
southeastasia,Standard_B2pts_v2,,11,Standard,2,1
southeastasia,Standard_B2s,,35,Standard,2,4
southeastasia,Standard_B2s_v2,,34,Standard,2,8
southeastasia,Standard_B2ts_v2,,34,Standard,2,1
southeastasia,Standard_B32als_v2,,32,Standard,32,64
southeastasia,Standard_B32as_v2,,32,Standard,32,128
southeastasia,Standard_B32ls_v2,,34,Standard,32,64
southeastasia,Standard_B32s_v2,,34,Standard,32,128
southeastasia,Standard_B4als_v2,,32,Standard,4,8
southeastasia,Standard_B4as_v2,,32,Standard,4,16
southeastasia,Standard_B4ls_v2,,34,Standard,4,8
southeastasia,Standard_B4ms,,35,Standard,4,16
southeastasia,Standard_B4pls_v2,,11,Standard,4,8
southeastasia,Standard_B4ps_v2,,11,Standard,4,16
southeastasia,Standard_B4s_v2,,34,Standard,4,16
southeastasia,Standard_B8als_v2,,32,Standard,8,16
southeastasia,Standard_B8as_v2,,32,Standard,8,32
southeastasia,Standard_B8ls_v2,,34,Standard,8,16
southeastasia,Standard_B8ms,,35,Standard,8,32
southeastasia,Standard_B8pls_v2,,11,Standard,8,16
southeastasia,Standard_B8ps_v2,,11,Standard,8,32
southeastasia,Standard_B8s_v2,,34,Standard,8,32
southeastasia,Standard_D1,,16,Standard,1,3.5
southeastasia,Standard_D11,,16,Standard,2,14
southeastasia,Standard_D11_v2,,35,Standard,2,14
southeastasia,Standard_D11_v2_Promo,,35,Standard,2,14
southeastasia,Standard_D12,,16,Standard,4,28
southeastasia,Standard_D128ds_v6,,16,Standard,128,512
southeastasia,Standard_D128lds_v6,,20,Standard,128,256
southeastasia,Standard_D128ls_v6,,16,Standard,128,256
southeastasia,Standard_D128s_v6,,20,Standard,128,512
southeastasia,Standard_D12_v2,,35,Standard,4,28
southeastasia,Standard_D12_v2_Promo,,35,Standard,4,28
southeastasia,Standard_D13,,16,Standard,8,56
southeastasia,Standard_D13_v2,,35,Standard,8,56
southeastasia,Standard_D13_v2_Promo,,35,Standard,8,56
southeastasia,Standard_D14,,16,Standard,16,112
southeastasia,Standard_D14_v2,,35,Standard,16,112
southeastasia,Standard_D14_v2_Promo,,35,Standard,16,112
southeastasia,Standard_D15_v2,,35,Standard,20,140
southeastasia,Standard_D16_v3,,35,Standard,16,64
southeastasia,Standard_D16_v4,,35,Standard,16,64
southeastasia,Standard_D16_v5,,34,Standard,16,64
southeastasia,Standard_D16a_v4,,32,Standard,16,64
southeastasia,Standard_D16ads_v5,,32,Standard,16,64
southeastasia,Standard_D16ads_v6,,18,Standard,16,64
southeastasia,Standard_D16alds_v6,,18,Standard,16,32
southeastasia,Standard_D16als_v6,,18,Standard,16,32
southeastasia,Standard_D16as_v4,,32,Standard,16,64
southeastasia,Standard_D16as_v5,,32,Standard,16,64
southeastasia,Standard_D16as_v6,,18,Standard,16,64
southeastasia,Standard_D16d_v4,,35,Standard,16,64
southeastasia,Standard_D16d_v5,,34,Standard,16,64
southeastasia,Standard_D16ds_v4,,35,Standard,16,64
southeastasia,Standard_D16ds_v5,,34,Standard,16,64
southeastasia,Standard_D16ds_v6,,16,Standard,16,64
